#⃣	井 井号 井号键
$	钱
☸	法轮 法轮功 法轮大法
☹	苦恼 难过 失望
☺	笑 得意 害羞 开心 舒服 微笑 微笑 喜欢 享受 笑脸
♀️	女 女生 女人 女性 性别
♂️	性别 男 男生 男人 男性
♈	星座 白羊座 牡羊座 牧羊座 白羊
♉	星座 金牛座 金牛
♊	双子 星座 双子座
♋	巨蟹 星座 巨蟹座
♌	星座 狮子座 狮子
♍	处女 室女 星座 处女座
♎	天平 天秤 星座 天秤座 天平座
♏	天蝎 星座 天蝎座
♐	人马 射手 星座 射手座
♑	摩羯 星座 摩羯座
♒	星座 水瓶座 水瓶 宝瓶
♓	双鱼 星座 双鱼座
♠	黑桃 黑桃 花色 扑克 打扑克 扑克牌
♣	梅花 草花 花色 梅花 扑克 打扑克 扑克牌
♥	心 红桃 红心 花色 扑克 打扑克 扑克牌 红桃 红心
♦	方块 方片 花色 扑克 打扑克 扑克牌 方片 方块
♨	温泉 热水 热汤 温泉 休息
♨️	加热 热气 泡面
♩	四分 音符
♪	八分 音符
♫	八分 音符
♬	十六 音符
♭	降音 降号
♮	还原
♯	升音 升号
♻	环保 回收 绿色 循环 可回收
♻️	循环 重复 回收
♽	再生
♿	残疾 残障 轮椅 无障碍 无障碍设施 轮椅 残疾 无障碍
⚒	镐 锤子 劳动 铁锤
⚓	锚 坞 船坞 码头 锚 船锚 锚点
⚔	剑
⚕	医 医疗 医学 蛇
⚖	天平 称 秤 天平
⚗	化学 烧瓶 蒸馏
⚙	齿轮 齿轮 机械 设置
⚛	物理 原子 原子核
⚜	鸢尾 鸢尾花
⚠	警告 警告 警示 危险 注意
⚡	电 触电 高压 高压电 闪电 高压 雷电
⚪	棋 圆 白子 棋子 白 白色
⚫	棋 圆 黑子 棋子 黑 黑色
⚰	棺材 棺材 棺椁 灵柩
⚱	骨灰 骨灰盒
⚽	球 踢球 足球
⚽️	球 足球
⚾	棒球 球 棒球
⛄	雪 雪人
⛄️	雪人
⛅	多云 太阳 多云转晴 晴转多云 天气 多云
⛈	天气 雷雨 雨 雷雨 雷阵雨
⛍	会车 来车
⛎	蛇夫 星座 蛇夫座
⛏	镐 铁镐 镐 锤子 铁锤
⛐	滑移
⛑	安全 安全帽 帽子 安全帽
⛓	链 链条 链子 铁链 铁索
⛔	停 不通 封路 禁止 停止 禁 禁止
⛕	改道
⛖	会车 让行
⛗	会车 让行
⛙	变窄 车道
⛜	变窄 车道线
⛟	货车 卡车
⛩	神社
⛪	教堂
⛰	山 山峰 山脉
⛱	伞 阳伞 太阳伞 伞 雨伞 海滨 休闲 度假 沙滩
⛲	公园 花园 喷泉
⛳	果岭 高尔夫 高尔夫球 球 高尔夫
⛴	渡轮 轮渡 船 渡轮 轮船
⛵	帆 船帆 帆船 帆船
⛷	滑雪 滑雪 双板 双板滑雪
⛸	冰刀 冰鞋 滑冰 溜冰
⛹	球 打球 篮球 打篮球
⛺	帐 露宿 帐篷 露营
⛽	加油 油站 加油站
⛾	休息 咖啡
✂	剪 剪刀 剪子 剪子 剪刀
✅	勾选 确认 完成 复选 多选 对 勾 打勾 对勾 对号 正确
✈	飞 飞机 航空 旅行 飞机
✉	信 电邮 写信 信封 信件 信息 邮件 电子邮件
✉️	信封 短信 消息
✊	发誓 宣誓 拳头
✋	举手 手 击掌 禁止 手掌 五指
✌	耶 噢耶 哦耶 喔耶
✍	写 手写 握笔 写信 写字 写作 写字 书写
✏	笔 写 铅笔 铅笔
✒	笔 写 钢笔 钢笔
✔	勾 对勾 对号 对 对号 勾 对勾 确认 完成
✔📩	微信
✖	叉 乘 错 乘号 错误 打叉
✝	基督 基督教 十字架
✡	犹太 六芒星 犹太教
✨	星 繁星 闪亮 闪烁 星星
✳	星号 星形 八角星
✴	星号 星形 八角星
❄	冷 雪 雪花 天气 雪 雪花 下雪
❇	星号 星形 八角星
❌	乘 乘号 叉 错 打叉 叉号 拒绝 取消 放弃 丢弃 乘 错 乘号 错误 禁止 拒绝
❎	叉 错 打叉 叉号 拒绝 取消 放弃 丢弃 叉 错 错误 打叉
❓	问 问号 问 问号 疑问 疑点 存疑
❔	问 问号
❕	叹 叹号 感叹号
❗	叹 叹号 感叹号 重要 叹号
❣	友爱 爱心 叹 叹号 感叹号
❤	心 爱 心 爱心 红心 喜欢
➕	加 加号 十字 加 正 加号
➕➖	正负 政府
➖	减 减号 负 减 减号
➗	除 除号
➡	右 右 向右
➰	线 打结 曲线 绳子
➿	线 打结 曲线 电话线
⤴	上 向上
⤵	下 向下
⬅	左 左 向左
⬆	上 上 向上
⬇	下 下 向下
⬛	方块 黑白 正方 正方形 黑 黑色
⬜	方块 黑白 正方 正方形 白 白色
⬜️	叉 错 打叉 叉号 拒绝 取消 放弃 丢弃 复选 多选 框 方框 选项
⭐	星 星光 星星 星形 五角星 重要 星星 星号
⭕	圆 圈圈 圆圈
⭕️	圆 圈 圆圈
〰	波浪 波浪线
〽	歌
〽️	曲线
・	点
㊗	祝 欢庆 婚庆 庆典 庆祝 祝贺
㊗️	祝
㊙️	秘
㏑	对数
㏒	对数
ꇊ	肺
𝄞	谱号 音乐
𝄡	谱号
𝄢	谱号
🀄	中 麻将 麻雀 打麻将
🃏	扑克 大王 小王 打牌 扑克 打扑克 扑克牌
🅰	a 血型 血型
🅱	b 血型 血型
🅾	o 血型 血型
🅿	泊车 停车 停车场
🆎	ab 血型 血型
🆑	归零 清除 清空 清零
🆒	酷 酷 酷炫
🆓	免费 FREE
🆔	id 身份 身份 身份证
🆕	新 买受人
🆖	NG 不行 不好
🆗	行 好 祝 可以
🆘	呼救 救命 求救 SOS
🆙	up 棒 升 涨
🆚	对战 比 比赛 比赛 对比 对决 对抗
🇦🇩	安道尔
🇦🇪	阿联酋
🇦🇫	阿富汗
🇦🇬	安提瓜和巴布达
🇦🇮	安圭拉
🇦🇱	阿尔巴尼亚
🇦🇲	亚美尼亚
🇦🇴	安哥拉
🇦🇶	南极 南极洲
🇦🇷	阿根廷
🇦🇸	东萨摩亚 美属萨摩亚
🇦🇹	奥地利
🇦🇺	澳洲 澳大利亚
🇦🇼	阿鲁巴 荷属阿鲁巴
🇦🇽	奥兰 奥兰群岛
🇦🇿	阿塞拜疆
🇧🇦	波黑 波斯尼亚和黑塞哥维那
🇧🇧	巴巴多斯
🇧🇩	孟加拉 孟加拉国
🇧🇪	比利时
🇧🇫	布基纳法索
🇧🇬	保加利亚
🇧🇭	巴林
🇧🇮	布隆迪
🇧🇯	贝宁
🇧🇲	百慕大 百慕大群岛
🇧🇳	文莱
🇧🇴	玻利维亚
🇧🇷	巴西
🇧🇸	巴哈马
🇧🇹	不丹
🇧🇼	博茨瓦纳
🇧🇾	白俄罗斯
🇧🇿	伯利兹
🇨🇦	加拿大
🇨🇩	刚果 刚果（金） 刚果民主共和国
🇨🇫	中非
🇨🇬	刚果 刚果（布） 刚果共和国
🇨🇭	瑞士
🇨🇮	科特迪瓦
🇨🇱	智利
🇨🇲	喀麦隆
🇨🇳	中国 中华人民共和国
🇨🇴	哥伦比亚
🇨🇷	哥斯达黎加
🇨🇺	古巴
🇨🇻	佛得角
🇨🇾	塞浦路斯
🇨🇿	捷克
🇩🇪	德国 德意志
🇩🇯	吉布提
🇩🇰	丹麦
🇩🇲	多米尼克
🇩🇴	多米尼加
🇩🇿	阿尔及利亚
🇪🇨	厄瓜多尔
🇪🇪	爱沙尼亚
🇪🇬	埃及
🇪🇷	厄立特里亚
🇪🇸	西班牙
🇪🇹	埃塞俄比亚
🇪🇺	欧盟
🇫🇮	芬兰
🇫🇯	斐济
🇫🇲	密克罗尼西亚
🇫🇷	法国 法兰西
🇬🇦	加蓬
🇬🇧	英国 大不列颠及北爱尔兰联合王国
🇬🇩	格林纳达
🇬🇪	格鲁吉亚
🇬🇫	法属圭亚那
🇬🇭	加纳
🇬🇮	直布罗陀
🇬🇱	格陵兰
🇬🇲	冈比亚
🇬🇳	几内亚
🇬🇶	赤道几内亚
🇬🇷	希腊
🇬🇹	危地马拉
🇬🇺	关岛
🇬🇼	几内亚比绍
🇬🇾	圭亚那
🇭🇰	香港 香港特区 中国香港
🇭🇳	洪都拉斯
🇭🇷	克罗地亚
🇭🇹	海地
🇭🇺	匈牙利
🇮🇩	印尼 印度尼西亚
🇮🇪	爱尔兰
🇮🇱	以色列
🇮🇳	印度
🇮🇶	伊拉克
🇮🇷	伊朗
🇮🇸	冰岛
🇮🇹	意大利
🇯🇲	牙买加
🇯🇴	约旦
🇯🇵	日本
🇰🇪	肯尼亚
🇰🇬	吉尔吉斯斯坦
🇰🇭	柬埔寨
🇰🇮	基里巴斯
🇰🇲	科摩罗
🇰🇳	圣基茨和尼维斯
🇰🇵	朝鲜
🇰🇷	韩国
🇰🇼	科威特
🇰🇿	哈萨克斯坦
🇱🇦	老挝
🇱🇧	黎巴嫩
🇱🇨	圣卢西亚
🇱🇮	列支敦士登
🇱🇰	斯里兰卡
🇱🇷	利比里亚
🇱🇸	莱索托
🇱🇹	立陶宛
🇱🇺	卢森堡
🇱🇻	拉脱维亚
🇱🇾	利比亚
🇲🇦	摩洛哥
🇲🇨	摩纳哥
🇲🇩	摩尔多瓦
🇲🇪	黑山
🇲🇬	马达加斯加
🇲🇭	马绍尔群岛
🇲🇰	马其顿
🇲🇱	马里
🇲🇲	缅甸
🇲🇳	蒙古
🇲🇴	澳门
🇲🇷	毛里塔尼亚
🇲🇹	马耳他
🇲🇺	毛里求斯
🇲🇻	马尔代夫
🇲🇼	马拉维
🇲🇽	墨西哥
🇲🇾	马来西亚
🇲🇿	莫桑比克
🇳🇦	纳米比亚
🇳🇪	尼日尔
🇳🇬	尼日利亚
🇳🇮	尼加拉瓜
🇳🇱	荷兰
🇳🇴	挪威
🇳🇵	尼泊尔
🇳🇷	瑙鲁
🇳🇺	纽埃
🇳🇿	新西兰
🇴🇲	阿曼
🇵🇦	巴拿马
🇵🇪	秘鲁
🇵🇬	巴布亚新几内亚
🇵🇭	菲律宾
🇵🇰	巴基斯坦
🇵🇱	波兰
🇵🇷	波多黎各
🇵🇸	巴勒斯坦
🇵🇹	葡萄牙
🇵🇼	帕劳
🇵🇾	巴拉圭
🇶🇦	卡塔尔
🇷🇪	留尼旺
🇷🇴	罗马尼亚
🇷🇸	塞尔维亚
🇷🇺	俄国 俄罗斯
🇷🇼	卢旺达
🇸🇦	沙特阿拉伯
🇸🇨	塞舌尔
🇸🇩	苏丹
🇸🇪	瑞典
🇸🇬	新加坡
🇸🇮	斯洛文尼亚
🇸🇰	斯洛伐克
🇸🇱	塞拉利昂
🇸🇲	圣马力诺
🇸🇳	塞内加尔
🇸🇴	索马里
🇸🇷	苏里南
🇸🇸	南苏丹
🇸🇹	圣多美和普林西比
🇸🇻	萨尔瓦多
🇸🇾	叙利亚
🇸🇿	斯威士兰
🇹🇩	乍得
🇹🇬	多哥
🇹🇭	泰国
🇹🇯	塔吉克斯坦
🇹🇱	东帝汶
🇹🇲	土库曼斯坦
🇹🇳	突尼斯
🇹🇴	汤加
🇹🇷	土耳其
🇹🇹	特立尼达和多巴哥
🇹🇻	图瓦卢
🇹🇼	台湾
🇹🇿	坦桑尼亚
🇺🇦	乌克兰
🇺🇬	乌干达
🇺🇳	联合国
🇺🇸	美国 美利坚合众国
🇺🇾	乌拉圭
🇺🇿	乌兹别克斯坦
🇻🇦	梵蒂冈
🇻🇨	圣文森特和格林纳丁斯
🇻🇪	委内瑞拉
🇻🇳	越南
🇻🇺	瓦努阿图
🇼🇸	萨摩亚
🇽🇰	科索沃
🇾🇪	也门
🇿🇦	南非
🇿🇲	赞比亚
🇿🇼	津巴布韦
🈁	这里
🈂	消费
🈚	无
🈚️	无
🈯	指
🈯️	指
🈲	禁
🈳	空
🈴	合 合 伤
🈵	满
🈶	有
🈷	月
🈸	申
🈹	割
🈺	当 营 润物无声
🉐	上 得
🉑	可
🌀	台风 旋风 漩涡 龙卷风 暴风 风暴 台风
🌁	霾 雾 雾霾 雾气
🌂	伞 阳伞 雨伞 太阳伞 伞 雨伞
🌃	夜 深夜 晚上 星空 星夜 夜景 夜色 夜色 夜晚
🌄	日出 朝阳 清晨 日出 日落
🌅	日出 朝阳 清晨 日出 日落 海上日出
🌆	傍晚 黄昏 暮色 夕阳
🌇	残阳 黄昏 日落 夕阳
🌈	彩虹 虹 彩虹
🌈🥚	彩蛋
🌉	桥 夜 深夜 晚上 星空 星夜 夜景 夜色 夜色 夜晚
🌊	浪 水 波浪 海浪 海啸
🌋	火山 火山 火山喷发
🌌	黑夜 星空 星系 星夜 银河 银河系 黑洞 银河
🌍	地球 非洲 欧洲 非洲
🌎	地球 美洲 美洲
🌏	亚洲 澳洲 澳洲 地球 亚洲 大洋洲
🌐	地球 世界 语言 本地 地球
🌑	朔 月 新月 月食 月蚀 月相 朔月 新月
🌒	上弦月 月 月相 娥眉月
🌓	上弦月 月 半月 月相 上弦月
🌔	上弦月 月 月相 盈凸月 渐盈凸月
🌕	望 月 满月 圆月 月亮 月球 月相 月圆 中秋 中秋节 望月 满月
🌖	下弦月 月 月相 亏凸月 渐亏凸月
🌗	下弦月 月 半月 月相 下弦月
🌘	下弦月 月 残月 月相
🌙	月 半月 弯月 月亮 月相 月牙 月亮 月牙
🌚	诡计 阴暗 阴谋 阴险 阴暗面 月黑风高
🌛	半月 弯月 月牙 上弦月 月亮 月牙
🌜	半月 弯月 月牙 下弦月 月亮 月牙
🌝	月 阳谋 月光 月亮 月神 月亮
🌞	日 明亮 日光 太阳 太阳光
🌟	星 星光 星星 星形 五角星
🌠	彗星 流星 流星雨
🌡	体温计 温度计 温度计
🌤	多云 太阳 多云转晴 晴转多云
🌥	阴 阴天
🌦	雨 阵雨
🌧	天气 雨 下雨 雨天 阵雨 雨 大雨
🌨	雪 下雪
🌩	雷 打雷 雷电 雷 雨 打雷 闪电
🌪	龙卷风
🌫	天气 雾 大雾 雾气 霾 雾 雾霾 雾气
🌬	吹 吹气
🌭	热狗
🌮	卷饼 鸡蛋饼 墨西哥卷饼
🌯	卷饼 鸡蛋饼 墨西哥卷饼
🌰	例子 板栗 栗子 栗 板栗 栗子
🌱	发芽 幼苗 发芽 树苗
🌲	树 杉 水杉 红杉 圣诞 树 松树
🌳	树 杨树 桦树 树 柏树
🌴	树 椰树 树 椰树 棕榈
🌵	仙人掌
🌶	辣椒
🌷	花 郁金香
🌸	樱花 花 梅花 桃花 樱花
🌹	玫瑰 花 花 玫瑰 蔷薇
🌺	花 芙蓉 海棠 木槿 花 花朵 芙蓉
🌻	向日葵 花 花 葵花 向日葵
🌼	开花 花 花 菊 菊花
🌽	玉米 苞米 玉米
🌾	稻 稻田 稻子 水稻 杂交水稻 稻 𥝌 稻子 水稻
🌿	树叶 药草 草 草药
🍀	四叶草 幸运草 树叶
🍁	叶 枫叶 红枫 红叶 枫叶 树叶
🍂	叶 黄叶 枯叶 落叶 树叶 落叶
🍃	叶 落叶 飘落 飘舞 微风 树叶 落叶
🍄	菌 菌类 蘑菇 蘑菇
🍅	柿子 西红柿 番茄 蕃茄 西红柿
🍆	茄子
🍇	葡萄
🍈	哈密瓜 甜瓜 蜜瓜 甜瓜 香瓜 哈密瓜
🍉	西瓜
🍊	橘子 桔子 橙子 柑橘 桔子 橘子 脐橙
🍋	柠檬
🍌	香蕉
🍍	凤梨 菠萝 菠萝 凤梨
🍎	苹果 苹果 蛇果
🍏	苹果 苹果 蛇果
🍐	梨 梨子 梨 鸭梨
🍑	桃 桃子 寿桃 仙桃 桃 桃子 水蜜桃
🍒	樱桃 樱桃 车厘子
🍓	草莓 草莓 士多啤梨
🍔	汉堡 汉堡 汉堡包
🍕	披萨 饼 比萨 饼子 披萨
🍖	排骨 肉 鸡腿
🍗	肉 鸡腿 鸡腿
🍘	米饼 饼 饼子 米饼
🍙	饭团
🍚	米饭 饭 吃饭 米饭
🍛	盖饭 盖浇饭
🍜	面 面条 面条
🍝	面 面条 意面 意大利面
🍞	面包 面包 吐司
🍟	薯条
🍠	地瓜 红薯
🍡	串烧 卤煮 丸子 关东煮 糖葫芦
🍢	串烧 卤煮 关东煮
🍣	寿司
🍤	虾 虾 虾仁 天妇罗
🍥	鱼板
🍦	甜筒 冰激凌 冰淇淋
🍧	刨冰 锉冰 刨冰 沙冰
🍨	雪糕 冰激凌 冰淇淋
🍩	巧克力 甜甜圈 甜甜圈
🍪	饼干 饼干 点心
🍫	巧克力
🍬	糖 糖果
🍭	棒棒糖 棒棒糖 糖
🍮	布丁 甜品
🍯	蜜 蜂蜜
🍰	蛋糕 蛋糕 糕点
🍱	盒饭 盒饭 套餐
🍲	火锅 香锅
🍳	煎蛋 煎蛋 荷包蛋
🍴	刀叉
🍵	茶 茶 绿茶
🍶	酒 清酒
🍷	红酒 酒 红酒 酒杯 葡萄酒
🍸	果酒 鸡尾酒 鸡尾酒
🍹	果汁 饮料
🍺	啤酒 祝贺 酒 啤酒
🍻	啤酒 干杯 碰杯
🍼	奶 奶瓶
🍽	刀叉 盘子 碗筷
🍽️	餐具
🍾	酒 香槟 香槟
🍿	爆米花
🎀	庆 缎带 欢庆 婚庆 庆典 庆祝 丝带 蝴蝶结 礼物 礼品 送礼
🎁	收益 收获 礼物 礼品 礼品 礼物
🎂	生日 生日蛋糕 蛋糕
🎃	南瓜 万圣节
🎄	树 圣诞树
🎅	圣诞 圣诞老人
🎆	焰火 花火 欢庆 婚庆 礼花 庆典 庆祝 烟花 烟火
🎇	奖牌 奖章 烟花 花火 欢庆 婚庆 礼花 庆典 庆祝 烟花 烟火 仙女棒
🎈	庆 欢庆 婚庆 气球 庆典 庆祝 气球
🎉	庆 欢庆 婚庆 狂欢 拉炮 庆典 庆祝 祝贺 礼宾花
🎊	庆 彩球 欢庆 婚庆 庆典 庆祝
🎋	七夕 七夕树
🎌	旗 旗帜
🎍	门松 盆栽
🎎	夫妇 夫妻 婚礼 婚庆 结婚
🎏	旗 欢庆 婚庆 旗帜 庆典 庆祝 鲤鱼旗
🎐	风铃
🎑	丰收 中秋 中秋节 丰收 中秋 赏月
🎒	包 背包 书包 双肩包
🎓	博士 学士 博士帽 帽子 毕业 学士 学士帽
🎖	勋章
🎗	丝带
🎙	唱 麦 唱歌 话筒
🎚	滑杆 滑块
🎛	旋钮
🎞	底片 胶卷 胶片 影片
🎟	券 票 门票 入场券
🎠	木马 马 木马 游乐场 旋转木马
🎡	摩天轮 摩天轮 游乐场
🎢	过山车 过山车 游乐场 云霄飞车
🎣	钓鱼
🎤	唱 麦 唱歌 话筒 麦 话筒 麦克风
🎥	摄影 摄影机 电影 放映 摄像 电影院 摄像机 摄影机
🎦	录像 摄像
🎧	耳放 耳机 耳塞 听歌 听音乐 耳机
🎨	画 画画 画家 美术 颜料 艺术 调色板 调色盘 画画 色盘 画板 调色
🎩	帽 帽子 魔术帽 帽子 礼帽
🎪	帐篷 活动 马戏 杂技 马戏团
🎫	券 票 门票 火车票 票 门票 入场券
🎬	电影 电影 剪辑 剧组 拍摄 拍戏 视频 影院 电影院 拍电影
🎭	假面 面具 角色 面具
🎮	手柄 游戏 手柄 游戏 打游戏 玩游戏 游戏机
🎯	勾选 确认 完成 单选 命中 飞镖 箭 目标 中标 标的 靶心 飞镖 精确 命中 准确
🎰	老虎机 赌博 赌场 赌钱 游戏 老虎机
🎱	台球 球 台球 桌球 斯诺克 花式九球
🎲	色子 骰子 骰子
🎳	保龄球 球 球 保龄 保龄球
🎴	桌游
🎵	音符 音乐 播放器
🎶	音符 音符 音乐 播放器
🎷	萨克斯 萨克斯 萨克斯风
🎸	吉他 吉它 吉它 小提琴
🎹	按键 琴键 琴 弹琴 钢琴
🎺	喇叭 长号 小号
🎻	大提琴 提琴 小提琴
🎼	乐谱 谱 乐谱 乐曲 谱曲 琴谱 音符 音乐 作曲
🎽	背心
🎾	球 网球 网球
🎿	滑冰 滑雪 雪杖 滑雪板 滑雪杖
🏀	球 篮球
🏁	旗 旗 比赛 比赛 比赛 旗帜 赛车 终点
🏂	单板 滑雪 单板滑雪 滑雪
🏃	跑 奔跑 跑步 田径 跑步
🏄	冲浪
🏅	奖牌 奖章
🏆	冠军 奖杯 奖 奖杯 获奖 奖章
🏇	赛马 马 马术 骑马
🏈	橄榄球 球 美式足球
🏉	橄榄球 球 橄榄球
🏊	游泳
🏋	杠铃 举重
🏋️	举重
🏌	球 高尔夫 高尔夫球
🏍	摩托 摩托车 电动车 电瓶车 电瓶车 摩托车 电动自行车
🏎	赛车 车 车子 跑车 赛车 法拉利 方程式
🏏	板球 球 板球
🏐	排球 球 球 排球
🏑	曲棍球 球 曲棍球
🏒	冰球 球 冰球 曲棍球
🏓	乒乓球 球 乒乓 球拍 乒乓球 乒乓球拍
🏔	山 雪山 雪山
🏕	露营 露营 野营
🏖	度假 海边 海滨 海滩 沙滩
🏗	工地 建设 建筑工地 施工 工地
🏘	别墅 小区 住宅
🏙	城市 大楼 都市
🏚	废墟 房 房屋 房子 危房
🏛	古典 神庙 神庙
🏜	沙漠 荒漠 沙漠
🏝	岛 海岛 小岛 荒岛
🏞	公园 风景 公园 山水 风景区 国家公园 自然风光
🏟	体育馆 竞技场 体育场 体育馆 运动场
🏠	房 家 屋 宅 别墅 房屋 房子 屋子 住宅 房子
🏡	住宅 别墅 房 家 屋 宅 别墅 房屋 房子 屋子 住宅
🏢	办公 办公楼 办公室 大楼 大厦 办公楼 写字楼
🏣	邮局 邮政局
🏤	邮局 邮局 邮政局
🏥	医院 看病 医院
🏦	银行
🏧	ATM 柜员机 取款机 自动柜员机 自动取款机
🏨	宾馆 饭店 酒店 旅馆 旅舍 酒店
🏩	宾馆 酒店 旅馆 旅舍
🏪	便利店 超市 便利店
🏫	初中 高中 小学 学校 中学 学校
🏬	商场 百货 商场 百货大楼
🏭	工厂 工厂 污染 烟囱 空气污染
🏮	灯笼
🏯	城堡
🏰	城堡 堡垒 城堡 古堡
🏳	旗 白旗 旗帜
🏳️	投降 白旗
🏴	旗 黑旗 旗帜
🏴‍☠️	海盗
🏵	胸针
🏷	便笺 便签 标签 手写便笺 标签 标记
🏸	球 球拍 羽毛球 羽毛球拍 羽毛球
🏹	弓箭 箭 射箭
🏺	花瓶
🏻	肤 肤色 皮肤
🏼	肤 肤色 皮肤
🏽	肤 肤色 皮肤
🏾	肤 肤色 皮肤
🏿	肤 肤色 皮肤
🐀	老鼠 鼠 鼠 老鼠
🐁	老鼠 鼠 鼠 白鼠 老鼠 小白鼠
🐂	公牛 黄牛 牛 牛 公牛 牛肉
🐃	水牛 牛 牛 水牛
🐄	奶牛 牛 奶牛
🐅	虎 老虎
🐆	豹 豹子 豹 豹子 猎豹
🐇	兔 兔子 白兔 兔 白兔 兔子 小白兔
🐈	猫 猫咪
🐉	龙
🐊	鳄 鳄鱼 鳄鱼
🐋	鲸 鲸鱼
🐌	蜗牛
🐍	蛇 蛇 长虫
🐎	马
🐏	绵羊 公羊 羊 羊 公羊 羊肉
🐐	山羊 羊 羊 山羊
🐑	母羊 羊 羊 绵羊
🐒	猴 猴子
🐓	鸡 公鸡 雄鸡 鸡 公鸡 鸡肉
🐔	鸡 鸡头 母鸡 鸡头
🐕	狗 狗肉 狗 黄狗 小狗 柴犬
🐖	佩奇 猪 猪 肥猪 猪肉
🐗	猪 豪猪 野猪 猪 野猪
🐘	象 大象
🐙	章鱼 章鱼 八爪鱼
🐚	贝 螺 贝壳 海螺 螺号
🐛	虫 虫子 菜青虫 毛毛虫 虫 蚕 蚕蛹 虫子
🐜	蚁 蚂蚁 蚂蚁
🐝	蜂 黄蜂 马蜂 蜜蜂 蜜蜂
🐞	瓢虫 瓢虫 七星瓢虫
🐟	鱼
🐠	金鱼 鱼 热带鱼
🐡	河豚
🐢	乌龟 兲 王八 龟 甲鱼 王八 乌龟
🐣	小鸟 诞生 孵化 破壳
🐤	小鸟 鸡 鸡头 小鸡
🐥	小鸟 鸡 雏鸡 小鸡
🐦	鸟
🐧	企鹅 鸟 企鹅
🐨	考拉 考拉 树袋熊
🐩	狗 贵宾 贵宾狗 贵宾犬 狗 贵宾犬
🐪	骆驼
🐫	骆驼
🐬	海豚
🐭	老鼠 鼠 鼠 老鼠 鼠头
🐮	牛 牛头
🐯	虎 虎头 老虎
🐰	兔 兔头 兔子
🐱	猫 猫咪 猫头
